_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
645544498723e138c4f0bc7a,,46.37,92.86,55.16,76.97,58;2;0;1,time,15,-1,1,15.01,0,2.01,false,false,english,none,normal,false,false,false,,1683309641000
645544328723e138c4f0bb42,,55.96,95.06,63.96,71.47,70;0;1;1,time,15,-1,1,15.01,0,4.83,false,false,english,none,normal,false,false,false,,1683309618000
6455441b8723e138c4eda224,,50.4,87.5,50.4,64.17,63;0;0;0,time,15,-1,4,15,0,5.32,false,false,english,none,normal,false,false,false,,1683309595000
645544008723e138c4ea878f,,56.8,89.66,69.6,69.03,71;6;1;1,time,15,-1,4,15,0,11.05,false,false,english,none,normal,false,false,false,,1683309568000
645543dc8723e138c4ea859e,,63.96,90.63,75.95,78.05,80;5;1;1,time,15,-1,2,15.01,0,11.16,false,false,english,none,normal,false,false,false,,1683309532000
645543af8723e138c4ea830f,,69.55,94.62,72.75,72.88,87;2;0;0,time,15,-1,2,15.01,0,4.26,false,false,english,none,normal,false,false,false,,1683309487000
6455438c8723e138c4ea811b,,69.6,95.6,69.6,72.77,87;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1683309452000
645543798723e138c4ea800d,true,69.6,97.83,73.6,79.49,87;1;0;0,time,15,-1,3,15,0,3.99,false,false,english,none,normal,false,false,false,,1683309433000
645543568723e138c4ea7e25,true,62.36,93.98,62.36,65.8,78;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1683309398000
645543388723e138c4ea7c8c,,51.03,91.3,59.98,67.09,114;5;0;0,words,25,-1,0,26.81,0,0,false,false,english,none,normal,false,false,false,,1683309368000
645543188723e138c4ea7acf,,48.46,90.78,62.63,69.47,106;4;1;1,words,25,-1,0,26.25,0,0,false,false,english,none,normal,false,false,false,,1683309336000
645542d98723e138c4ea7769,true,69.21,99.22,69.21,71.06,127;0;0;0,words,25,-1,0,22.02,0,0,false,false,english,none,normal,false,false,false,,1683309273000
645542938723e138c4ea73ad,,41.74,89.31,43.62,50.61,133;1;0;1,words,25,-1,0,38.24,0,0,false,false,english,none,normal,false,false,false,,1683309203000
